item_id,category,stock_level,reorder_point,reorder_frequency_days,lead_time_days,daily_demand,demand_std_dev,item_popularity_score,storage_location_id,zone,picking_time_seconds,handling_cost_per_unit,unit_price,holding_cost_per_unit_day,stockout_count_last_month,order_fulfillment_rate,total_orders_last_month,turnover_ratio,layout_efficiency_score,last_restock_date,forecasted_demand_next_7d,KPI_score
ITM10052,Pharma,377,50,14,5,17.35,4.21,1.0,L78,B,30,4.82,24.98,1.01,5,0.88,206,14.02,0.24,2024-07-30,112.59,0.61
ITM10053,Automotive,35,83,13,6,2.86,4.12,0.28,L34,D,170,2.44,60.44,0.12,7,0.83,579,1.14,0.8,2024-01-24,243.0,0.589
ITM10054,Groceries,85,19,3,6,8.2,3.0,0.18,L6,D,139,2.14,139.73,0.16,8,0.81,904,12.51,0.56,2024-10-15,58.48,0.665
ITM10055,Electronics,443,66,3,4,45.94,0.92,0.17,L94,D,92,2.51,151.67,0.21,7,0.77,269,4.9,0.88,2024-04-23,183.63,0.634
ITM10056,Pharma,164,16,7,9,49.92,3.05,0.85,L59,D,165,2.42,32.77,1.12,0,0.8,634,3.64,0.44,2024-03-15,127.88,0.585
ITM10057,Apparel,394,59,6,8,39.25,1.01,0.49,L69,A,152,3.32,157.93,0.74,1,0.85,239,7.28,0.82,2024-01-09,160.24,0.737
ITM10058,Pharma,181,61,3,7,15.05,9.28,0.1,L16,A,10,3.8,80.41,1.8,5,0.77,924,13.56,0.26,2024-05-13,217.18,0.507
ITM10059,Apparel,253,42,6,7,20.72,6.79,0.89,L49,B,116,4.03,139.08,1.16,7,0.93,311,12.0,0.71,2024-10-10,113.56,0.632
ITM10060,Apparel,399,10,5,4,37.24,8.92,0.89,L11,C,37,3.42,137.59,1.54,3,0.91,193,14.54,0.49,2024-10-26,116.45,0.66
ITM10061,Pharma,163,62,4,9,48.46,7.31,0.83,L71,C,59,2.47,160.78,1.41,3,0.78,534,8.57,0.42,2024-10-23,32.27,0.553
ITM10062,Automotive,377,69,11,6,23.32,1.75,0.32,L38,B,44,4.78,142.46,1.09,1,0.73,690,8.15,0.85,2024-08-01,170.06,0.696
ITM10063,Apparel,207,43,13,3,41.65,9.44,0.44,L81,C,165,3.7,17.38,1.51,9,0.7,327,1.18,0.24,2024-05-31,130.9,0.273
ITM10064,Apparel,341,13,3,5,48.78,9.05,0.77,L80,A,146,2.42,108.7,1.13,0,0.88,863,3.53,0.96,2024-03-19,245.56,0.702
ITM10065,Pharma,469,26,9,5,43.8,3.81,0.54,L47,D,161,2.51,41.57,0.83,9,0.76,751,7.97,0.83,2024-04-10,137.39,0.561
ITM10066,Apparel,493,13,6,3,12.13,1.56,0.24,L74,C,141,4.18,194.29,0.93,8,0.7,712,11.54,0.48,2024-06-17,291.53,0.537
ITM10067,Apparel,32,52,7,3,1.39,7.19,0.32,L25,D,50,2.48,58.61,1.69,6,0.81,966,12.52,0.99,2024-04-27,59.82,0.638
ITM10068,Pharma,203,99,12,9,25.11,7.42,0.98,L91,D,76,2.82,89.82,1.17,8,0.99,356,4.97,0.36,2024-07-13,87.45,0.459
ITM10069,Pharma,130,13,7,6,27.04,9.02,0.24,L9,A,57,1.81,47.37,0.82,1,0.91,945,10.97,0.52,2024-10-18,123.65,0.73
ITM10070,Electronics,434,10,3,4,10.86,1.0,0.75,L6,D,95,4.28,35.57,0.44,9,0.96,656,12.6,0.91,2024-05-05,59.42,0.718
ITM10071,Automotive,309,80,8,3,14.95,1.85,0.53,L85,C,67,2.85,124.18,1.04,4,0.74,599,6.25,1.0,2024-09-12,291.97,0.647
ITM10072,Automotive,314,59,11,4,38.49,6.18,0.77,L30,A,48,2.99,103.7,0.58,1,0.72,205,10.74,0.39,2024-10-08,195.88,0.687
ITM10073,Apparel,470,82,4,9,24.05,6.38,0.7,L99,B,34,4.46,81.19,1.92,9,0.7,349,7.12,0.79,2024-12-01,13.25,0.421
ITM10074,Automotive,411,70,9,8,16.55,0.82,0.5,L38,A,69,4.64,26.23,1.03,6,0.99,396,14.8,0.44,2024-12-16,177.77,0.66
ITM10075,Apparel,234,44,8,2,31.51,4.27,0.42,L11,C,126,4.21,149.83,0.12,8,0.79,472,1.09,0.81,2024-06-21,236.56,0.563
ITM10076,Electronics,481,17,7,5,32.99,6.05,0.78,L30,A,95,0.79,11.11,0.28,2,0.84,475,6.8,0.3,2024-05-11,24.88,0.651
ITM10077,Pharma,139,33,6,6,38.7,7.51,0.39,L13,C,123,2.5,96.96,0.64,0,0.82,91,4.69,0.47,2024-09-07,177.6,0.657
ITM10078,Pharma,401,92,6,5,8.68,3.5,0.81,L49,C,93,2.04,130.19,0.28,3,0.92,365,12.9,0.26,2024-11-24,118.55,0.72
ITM10079,Pharma,74,45,8,6,37.33,5.1,0.71,L36,A,164,1.46,91.84,1.8,3,0.79,687,5.02,0.59,2024-09-08,178.63,0.503
ITM10080,Automotive,46,59,6,9,30.37,8.23,0.62,L59,C,133,4.59,33.98,1.72,5,0.86,874,8.61,0.76,2024-08-23,83.26,0.567
ITM10081,Electronics,137,52,7,2,3.82,9.56,0.43,L82,B,120,4.51,157.87,1.94,4,1.0,126,11.36,0.5,2024-03-27,203.14,0.577
ITM10082,Automotive,240,36,8,5,39.09,2.69,0.28,L47,C,51,2.59,71.55,1.44,4,0.83,145,7.96,0.69,2024-06-29,204.69,0.586
ITM10083,Automotive,250,41,7,2,19.77,2.9,0.74,L21,B,61,1.11,35.6,1.33,8,0.87,312,6.75,0.66,2024-03-27,166.46,0.503
ITM10084,Electronics,72,87,9,9,17.19,9.43,0.18,L48,B,57,0.56,114.55,1.85,0,0.85,868,1.6,0.44,2024-03-12,277.89,0.494
ITM10085,Electronics,314,27,11,6,22.96,4.26,0.97,L46,C,41,2.47,13.64,1.9,7,0.94,786,1.32,0.59,2024-10-06,273.75,0.394
ITM10086,Electronics,340,37,12,3,17.96,7.32,0.98,L27,D,161,0.68,71.57,1.77,7,0.78,672,14.4,0.26,2024-09-07,23.79,0.483
ITM10087,Electronics,420,38,9,8,17.58,6.32,0.22,L86,B,140,3.24,152.62,1.74,7,0.75,799,10.01,0.57,2024-04-04,94.07,0.483
ITM10088,Pharma,252,25,9,5,40.6,3.21,0.19,L35,B,127,3.24,183.42,1.38,2,0.93,254,12.55,0.57,2024-10-04,115.64,0.689
ITM10089,Groceries,177,56,6,2,7.1,6.71,0.47,L90,A,164,4.55,122.43,0.1,9,0.82,337,7.73,0.22,2024-11-24,26.03,0.521
ITM10090,Groceries,456,68,3,7,48.56,6.73,0.97,L88,B,177,1.36,51.35,0.92,7,0.97,312,4.66,0.61,2024-01-31,161.85,0.546
ITM10091,Electronics,288,40,10,5,28.19,6.13,0.46,L83,B,32,2.17,51.8,1.31,1,0.89,637,5.12,0.79,2024-09-25,17.13,0.653
ITM10092,Groceries,40,13,6,5,9.96,1.45,0.43,L10,B,144,4.37,124.74,1.14,7,0.87,985,1.61,0.56,2024-01-18,206.64,0.453
ITM10093,Groceries,422,46,3,5,7.43,9.95,0.73,L78,B,136,2.63,87.28,1.66,7,0.72,704,12.07,0.72,2024-02-08,10.78,0.543
ITM10094,Electronics,72,26,7,4,29.98,4.3,0.26,L82,D,46,0.77,43.68,1.66,2,0.92,364,9.14,0.63,2024-12-08,19.26,0.626
ITM10095,Groceries,294,48,10,2,32.02,6.56,0.43,L22,B,16,1.0,159.61,1.24,3,0.91,418,7.73,0.83,2024-01-25,251.79,0.667
ITM10096,Automotive,332,57,6,2,3.6,8.91,0.36,L69,C,86,4.16,48.05,0.14,8,0.89,646,12.93,0.61,2024-01-04,83.26,0.698
ITM10097,Apparel,300,55,14,5,12.91,4.52,0.64,L94,D,91,3.85,71.11,0.8,8,0.78,957,7.23,0.47,2024-07-30,33.56,0.506
ITM10098,Apparel,233,99,10,9,39.98,7.85,0.25,L32,B,104,4.44,21.67,0.53,9,0.98,301,14.27,0.86,2024-03-11,125.85,0.725
ITM10099,Electronics,50,57,10,9,3.43,9.73,0.59,L21,C,31,1.03,143.26,0.74,8,0.8,382,1.19,0.25,2024-11-18,24.78,0.392
ITM10100,Pharma,356,48,5,3,42.9,3.91,0.87,L60,C,87,3.92,62.3,1.27,9,0.75,793,14.78,0.43,2024-04-28,227.62,0.526
ITM10101,Electronics,202,13,11,5,33.25,4.35,0.56,L49,D,91,3.45,54.24,0.23,5,1.0,475,12.42,0.67,2024-02-04,153.3,0.777
ITM10102,Pharma,42,39,5,4,22.29,9.1,0.72,L35,D,154,1.55,67.64,0.14,0,0.92,344,5.97,0.88,2024-12-28,170.06,0.826
ITM10103,Apparel,51,39,3,6,17.98,2.02,0.17,L82,C,28,4.88,176.08,0.93,7,0.82,880,9.34,0.26,2024-03-18,228.37,0.508
ITM10104,Electronics,465,31,4,4,1.94,0.77,0.5,L89,D,104,3.07,108.42,1.61,8,0.98,691,13.1,0.28,2024-01-05,237.49,0.506
ITM10105,Automotive,93,84,8,9,41.44,9.13,0.19,L72,D,48,4.58,40.0,0.16,7,0.73,334,7.74,0.43,2024-04-21,49.51,0.579
ITM10106,Groceries,29,75,14,3,7.99,8.31,0.64,L29,A,126,4.37,157.15,1.71,0,0.73,366,1.71,0.48,2024-09-15,91.28,0.494
ITM10107,Pharma,475,21,12,9,16.17,9.74,0.35,L88,D,45,2.0,49.61,0.83,5,0.9,561,13.65,0.87,2024-08-21,60.94,0.753
ITM10108,Groceries,73,45,4,9,28.89,1.05,0.36,L42,A,24,2.91,88.37,0.32,8,0.75,78,8.24,0.97,2024-07-10,25.67,0.662
ITM10109,Groceries,71,27,8,9,13.05,1.98,0.17,L99,D,166,2.44,117.93,1.18,8,0.98,789,8.63,0.21,2024-01-31,165.88,0.475
ITM10110,Electronics,167,99,3,5,25.36,1.5,0.38,L100,D,69,3.69,121.04,1.91,6,0.95,343,1.19,0.21,2024-11-12,82.44,0.337
ITM10111,Groceries,179,62,13,9,40.66,6.99,0.56,L8,C,177,3.15,23.12,1.13,6,0.79,56,2.4,0.89,2024-11-22,54.65,0.535
ITM10112,Automotive,389,80,3,2,24.06,6.26,0.63,L30,A,153,4.03,168.99,1.4,3,0.97,591,11.88,0.31,2024-12-07,157.94,0.614
ITM10113,Groceries,33,10,7,8,47.5,3.91,0.16,L5,D,170,0.55,101.09,1.65,6,0.71,264,7.09,0.47,2024-11-11,193.86,0.446
ITM10114,Electronics,197,67,12,7,42.53,1.05,0.69,L41,B,98,3.6,197.96,1.62,9,0.86,676,14.97,0.42,2024-09-04,233.91,0.514
ITM10115,Automotive,431,99,13,5,17.32,6.58,0.54,L52,D,25,1.94,146.31,0.24,4,0.98,264,10.74,0.43,2024-12-03,15.07,0.721
ITM10116,Apparel,385,96,11,3,20.6,5.92,0.58,L35,C,167,1.51,198.59,1.51,9,0.96,213,14.29,0.46,2024-09-06,162.62,0.544
ITM10117,Groceries,72,99,10,2,21.74,1.57,0.85,L9,C,107,4.11,96.16,1.9,4,0.81,219,4.91,0.47,2024-01-09,87.45,0.451
ITM10118,Electronics,427,15,5,4,31.68,9.13,0.41,L28,C,113,0.9,36.75,1.43,0,0.75,270,3.47,0.7,2024-01-04,297.56,0.593
ITM10119,Apparel,354,79,5,9,15.05,2.39,0.26,L73,A,53,1.53,148.19,1.69,1,0.76,309,6.27,0.7,2024-09-29,55.51,0.587
ITM10120,Apparel,41,53,3,6,48.49,7.56,0.6,L92,A,175,1.42,157.77,1.02,8,0.85,773,4.71,0.62,2024-10-09,136.98,0.495
ITM10121,Pharma,49,81,5,6,30.83,8.91,0.95,L41,A,60,2.39,172.04,0.71,1,0.88,310,9.59,0.89,2024-07-29,291.31,0.791
ITM10122,Automotive,210,33,14,8,20.57,6.01,0.57,L28,B,27,1.95,67.28,1.38,9,0.71,863,11.42,0.88,2024-01-07,71.8,0.552
ITM10123,Groceries,279,95,14,5,32.61,2.85,0.85,L84,A,14,3.74,107.03,1.04,1,0.82,892,6.63,0.37,2024-01-09,244.0,0.602
ITM10124,Electronics,224,28,14,4,20.37,3.44,0.78,L64,C,177,3.65,172.93,1.8,8,0.95,691,2.26,0.63,2024-09-28,80.48,0.406
ITM10125,Pharma,78,27,13,8,41.07,8.91,0.57,L51,A,15,1.96,174.3,1.95,2,0.83,666,1.37,0.83,2024-05-20,31.83,0.515
ITM10126,Automotive,490,39,3,7,28.82,3.33,0.68,L83,A,85,2.47,14.88,1.66,1,0.75,615,4.05,0.89,2024-10-01,22.4,0.596
ITM10127,Pharma,283,51,10,7,3.06,7.59,0.47,L59,D,124,1.44,137.47,1.99,6,0.99,669,11.25,0.4,2024-05-26,285.13,0.509
ITM10128,Automotive,485,42,3,8,9.66,9.91,0.58,L19,A,21,3.52,124.32,0.76,8,0.78,521,4.1,0.6,2024-01-09,71.74,0.495
ITM10129,Automotive,31,83,7,3,43.38,10.0,0.56,L34,D,21,2.28,25.83,1.8,5,0.94,876,13.75,0.62,2024-09-14,94.67,0.615
ITM10130,Groceries,138,21,11,6,28.58,5.57,0.74,L18,A,82,1.1,186.73,0.73,6,0.76,850,10.12,0.76,2024-12-23,290.4,0.646
ITM10131,Automotive,434,36,9,4,47.57,8.35,0.47,L32,D,115,1.07,94.62,0.32,2,0.83,304,13.07,0.46,2024-12-11,200.64,0.76
ITM10132,Pharma,481,48,6,5,4.55,9.91,0.19,L96,C,159,1.95,138.11,1.28,2,0.85,327,6.4,0.43,2024-08-08,151.56,0.573
ITM10133,Automotive,309,18,13,9,15.47,4.06,0.81,L72,A,58,3.86,177.73,0.96,7,0.85,608,14.77,0.76,2024-04-01,136.27,0.683
ITM10134,Groceries,357,30,11,2,10.48,2.9,0.72,L69,C,13,0.61,34.72,1.85,6,0.85,695,10.51,0.52,2024-02-24,24.08,0.509
ITM10135,Groceries,267,85,11,5,28.14,1.59,0.96,L34,A,12,1.66,172.61,1.04,4,0.77,73,6.0,0.2,2024-02-19,253.29,0.49
ITM10136,Pharma,373,38,4,5,19.76,1.84,0.49,L96,B,153,1.23,147.62,1.86,5,0.85,482,3.98,0.95,2024-09-25,230.99,0.527
ITM10137,Apparel,146,42,12,4,8.71,8.61,0.17,L75,B,23,4.8,169.52,0.25,8,0.84,678,13.13,0.32,2024-03-17,36.3,0.622
ITM10138,Apparel,94,71,12,6,32.49,6.09,0.21,L55,C,73,3.67,104.02,1.68,2,0.76,800,5.45,0.32,2024-05-03,112.5,0.481
ITM10139,Automotive,380,24,13,4,27.28,8.8,0.8,L75,C,129,1.55,16.36,1.54,2,1.0,527,1.62,0.85,2024-04-08,266.77,0.598
ITM10140,Electronics,223,11,14,2,14.46,8.0,0.16,L52,B,178,1.43,137.4,1.47,5,0.96,543,4.9,0.47,2024-11-13,78.57,0.504
ITM10141,Automotive,68,61,8,8,24.51,6.9,0.92,L47,B,77,4.36,81.16,0.77,7,0.97,431,3.51,0.46,2024-09-26,187.26,0.516
ITM10142,Pharma,98,53,6,4,37.54,6.29,0.35,L29,D,68,1.36,86.46,1.59,4,0.91,868,5.48,0.7,2024-05-09,151.5,0.556
ITM10143,Pharma,460,63,10,3,11.06,0.96,0.91,L18,A,139,4.99,93.84,1.02,0,0.75,423,9.59,0.25,2024-06-30,247.37,0.626
ITM10144,Pharma,498,27,14,5,15.35,8.79,0.8,L66,B,128,1.77,103.65,1.46,2,0.87,602,8.01,0.39,2024-05-16,20.46,0.573
ITM10145,Pharma,260,12,13,6,17.96,4.47,0.88,L64,C,19,0.88,135.77,1.15,7,0.95,811,10.95,0.24,2024-07-22,246.68,0.529
ITM10146,Pharma,368,16,9,9,37.59,5.82,0.29,L12,C,84,3.61,148.09,0.4,3,0.71,372,5.67,0.43,2024-02-10,49.36,0.604
ITM10147,Groceries,173,52,9,7,42.5,0.71,0.64,L97,B,99,3.24,157.6,0.22,8,0.85,138,2.68,0.9,2024-07-10,14.37,0.604
ITM10148,Apparel,293,91,13,2,19.44,9.39,0.18,L7,C,110,5.0,137.61,0.8,5,0.82,141,3.24,0.93,2024-07-26,182.7,0.613
ITM10149,Pharma,115,47,12,7,15.53,9.08,0.28,L15,A,163,4.11,162.66,1.87,9,0.76,426,12.16,0.45,2024-08-23,85.01,0.437
ITM10150,Electronics,233,46,11,5,44.58,5.66,0.38,L20,D,141,2.43,33.21,1.11,3,0.81,130,2.37,0.35,2024-10-16,215.69,0.493
ITM10151,Electronics,313,67,7,4,49.97,5.98,0.77,L81,A,37,3.54,169.0,1.62,3,1.0,691,12.17,0.31,2024-05-04,146.24,0.602
ITM10152,Electronics,228,42,8,7,33.85,7.2,0.12,L21,D,139,4.18,83.58,1.19,9,0.92,652,3.98,0.52,2024-12-22,185.6,0.442
ITM10153,Electronics,362,68,3,3,49.51,3.01,0.91,L88,D,75,2.81,110.47,1.92,4,0.79,149,10.5,0.86,2024-04-25,210.01,0.598
ITM10154,Groceries,107,20,8,4,33.34,2.61,0.16,L55,B,153,1.73,92.42,0.8,6,0.88,639,9.72,0.88,2024-06-02,278.81,0.682
ITM10155,Electronics,325,77,4,5,36.94,6.9,0.44,L77,C,133,1.45,100.39,0.21,6,0.77,604,2.38,0.24,2024-12-16,248.7,0.493
ITM10156,Pharma,283,91,8,7,20.04,1.49,0.17,L9,D,66,1.83,64.23,1.58,9,0.88,172,10.32,0.37,2024-02-11,153.58,0.45
ITM10157,Automotive,444,77,11,9,22.22,4.81,0.79,L50,B,160,4.32,42.29,1.44,6,0.97,849,7.27,0.36,2024-11-30,137.02,0.499
ITM10158,Electronics,409,97,10,8,8.06,5.18,0.23,L49,C,160,2.21,29.93,1.1,4,0.87,445,10.9,0.86,2024-11-28,199.86,0.701
ITM10159,Groceries,344,31,11,2,41.31,4.12,0.9,L77,C,30,1.79,95.77,0.72,8,0.92,72,12.7,0.57,2024-01-17,222.72,0.635
ITM10160,Groceries,447,75,12,7,46.62,2.26,0.58,L60,D,112,4.13,33.8,0.46,1,0.84,705,1.55,0.49,2024-02-17,60.07,0.621
ITM10161,Electronics,396,53,10,9,31.55,3.88,0.95,L68,C,162,0.64,56.55,1.02,7,0.86,989,10.07,0.97,2024-07-26,19.43,0.658
ITM10162,Automotive,339,15,5,8,17.84,3.71,0.36,L33,A,67,3.17,35.39,1.37,9,0.91,819,2.47,0.94,2024-07-13,141.85,0.486
ITM10163,Electronics,176,51,10,8,8.55,5.24,0.51,L71,C,46,4.43,30.73,1.2,7,0.94,568,6.3,0.55,2024-07-12,38.84,0.522
ITM10164,Groceries,175,34,8,7,13.99,6.91,0.72,L2,A,152,2.35,177.67,0.93,2,0.9,326,1.18,0.3,2024-10-09,89.09,0.523
ITM10165,Apparel,158,66,8,6,13.52,9.7,0.85,L88,C,165,1.71,138.06,1.13,4,0.99,747,5.6,0.34,2024-08-31,179.57,0.548
ITM10166,Pharma,140,94,8,7,31.06,1.87,0.48,L93,D,141,2.71,185.51,0.31,7,0.95,144,3.37,0.29,2024-01-29,53.92,0.522
ITM10167,Groceries,84,64,5,5,47.31,8.79,0.9,L15,D,56,3.73,132.36,1.42,9,0.93,968,8.79,0.74,2024-11-22,18.26,0.529
